Frame,TileCount,Tiles
50,12,"0,6,1,7,2,8,3,9,4,10,5,11"
51,12,"0,6,1,7,2,8,3,9,4,10,5,11"
52,12,"0,6,1,7,2,8,3,9,4,10,5,11"
53,11,"0,6,7,2,8,3,9,4,10,5,11"
54,11,"0,6,7,2,8,3,9,4,10,5,11"
55,9,"6,7,2,8,9,4,10,5,11"
56,8,"6,7,2,8,9,4,10,11"
57,6,"7,8,9,4,10,11"
58,5,"7,8,9,10,11"
59,4,"7,8,9,10"
60,3,"8,9,10"
61,3,"8,9,10"
62,2,"8,9"
63,2,"8,9"
64,2,"8,9"
65,2,"8,9"
66,2,"8,9"
67,2,"8,9"
68,2,"8,9"
69,2,"8,9"
70,2,"8,9"
71,2,"8,9"
72,3,"7,8,9"
73,3,"7,8,11"
74,4,"7,8,9,11"
75,6,"0,6,7,8,9,11"
76,8,"0,6,1,7,8,9,10,11"
77,9,"0,6,1,7,2,8,9,10,11"
78,10,"0,6,1,7,2,8,3,9,10,11"
79,6,"2,8,3,9,10,11"
80,6,"2,8,3,9,10,11"
81,7,"2,8,3,9,4,10,11"
82,7,"2,8,3,9,4,10,11"
83,7,"2,8,3,9,4,10,11"
84,8,"2,8,3,9,4,10,5,11"
85,8,"2,8,3,9,4,10,5,11"
86,8,"2,8,3,9,4,10,5,11"
87,8,"2,8,3,9,4,10,5,11"
88,8,"2,8,3,9,4,10,5,11"
89,8,"2,8,3,9,4,10,5,11"
90,8,"2,8,3,9,4,10,5,11"
91,8,"2,8,3,9,4,10,5,11"
92,12,"0,6,1,7,2,8,3,9,4,10,5,11"
93,12,"0,6,1,7,2,8,3,9,4,10,5,11"
94,10,"0,6,1,7,2,8,3,9,4,5"
95,9,"0,6,1,7,2,8,3,9,4"
96,8,"0,6,1,7,2,8,3,9"
97,8,"0,6,1,7,2,8,3,9"
98,10,"0,6,1,7,2,8,3,9,4,5"
99,12,"0,6,1,7,2,8,3,9,4,10,5,11"
100,11,"0,6,1,7,2,3,9,4,10,5,11"
101,9,"0,1,7,2,3,9,4,5,11"
102,6,"1,7,3,9,5,11"
103,6,"1,7,3,9,5,11"
104,5,"1,3,9,5,11"
105,5,"3,9,4,5,11"
106,6,"2,3,9,4,5,11"
107,8,"2,8,3,9,4,10,5,11"
108,8,"2,8,3,9,4,10,5,11"
109,10,"0,6,1,2,8,3,9,10,5,11"
110,11,"0,6,1,7,2,8,3,9,10,5,11"
111,11,"0,6,1,7,2,8,3,9,10,5,11"
112,11,"0,6,1,7,2,8,3,9,10,5,11"
113,10,"0,6,1,7,8,3,9,10,5,11"
114,10,"0,6,1,7,8,3,9,10,5,11"
115,8,"6,1,7,8,3,9,10,11"
116,7,"6,7,8,3,9,10,11"
117,6,"6,7,8,9,10,11"
118,6,"6,7,8,9,10,11"
119,6,"1,7,8,9,10,11"
120,6,"1,7,8,9,10,11"
121,6,"1,7,8,9,10,11"
122,6,"1,7,8,9,10,11"
123,6,"1,7,8,9,10,11"
124,6,"1,7,8,9,10,11"
125,6,"1,7,8,9,10,11"
126,6,"1,7,8,9,10,11"
127,6,"1,7,8,9,10,11"
128,6,"1,7,8,9,10,11"
129,5,"7,8,9,10,11"
130,6,"7,8,3,9,10,11"
131,6,"7,8,3,9,10,11"
132,7,"1,7,8,3,9,10,11"
133,7,"1,7,8,3,9,10,11"
134,8,"6,1,7,8,3,9,10,11"
135,9,"6,1,7,8,3,9,10,5,11"
136,9,"6,1,7,8,3,9,10,5,11"
137,10,"0,6,1,7,8,3,9,10,5,11"
138,11,"0,6,1,7,2,8,3,9,10,5,11"
139,11,"0,6,1,7,2,8,3,9,10,5,11"
140,11,"0,6,1,7,2,8,3,9,10,5,11"
141,11,"0,6,1,7,2,8,3,9,10,5,11"
142,11,"0,6,1,7,2,8,3,9,10,5,11"
143,11,"0,6,1,7,2,8,3,9,10,5,11"
144,11,"0,6,1,7,2,8,3,9,10,5,11"
145,11,"0,6,1,7,2,8,3,9,10,5,11"
146,11,"0,6,1,7,2,8,3,9,10,5,11"
147,12,"0,6,1,7,2,8,3,9,4,10,5,11"
148,12,"0,6,1,7,2,8,3,9,4,10,5,11"
149,12,"0,6,1,7,2,8,3,9,4,10,5,11"
150,12,"0,6,1,7,2,8,3,9,4,10,5,11"
151,12,"0,6,1,7,2,8,3,9,4,10,5,11"
152,12,"0,6,1,7,2,8,3,9,4,10,5,11"
153,12,"0,6,1,7,2,8,3,9,4,10,5,11"
154,12,"0,6,1,7,2,8,3,9,4,10,5,11"
155,12,"0,6,1,7,2,8,3,9,4,10,5,11"
156,12,"0,6,1,7,2,8,3,9,4,10,5,11"
157,12,"0,6,1,7,2,8,3,9,4,10,5,11"
158,12,"0,6,1,7,2,8,3,9,4,10,5,11"
159,12,"0,6,1,7,2,8,3,9,4,10,5,11"
160,12,"0,6,1,7,2,8,3,9,4,10,5,11"
161,12,"0,6,1,7,2,8,3,9,4,10,5,11"
162,12,"0,6,1,7,2,8,3,9,4,10,5,11"
163,12,"0,6,1,7,2,8,3,9,4,10,5,11"
164,12,"0,6,1,7,2,8,3,9,4,10,5,11"
165,12,"0,6,1,7,2,8,3,9,4,10,5,11"
166,12,"0,6,1,7,2,8,3,9,4,10,5,11"
167,12,"0,6,1,7,2,8,3,9,4,10,5,11"
168,12,"0,6,1,7,2,8,3,9,4,10,5,11"
169,12,"0,6,1,7,2,8,3,9,4,10,5,11"
170,12,"0,6,1,7,2,8,3,9,4,10,5,11"
171,12,"0,6,1,7,2,8,3,9,4,10,5,11"
172,12,"0,6,1,7,2,8,3,9,4,10,5,11"
173,12,"0,6,1,7,2,8,3,9,4,10,5,11"
174,12,"0,6,1,7,2,8,3,9,4,10,5,11"
175,12,"0,6,1,7,2,8,3,9,4,10,5,11"
176,12,"0,6,1,7,2,8,3,9,4,10,5,11"
177,12,"0,6,1,7,2,8,3,9,4,10,5,11"
178,12,"0,6,1,7,2,8,3,9,4,10,5,11"
179,12,"0,6,1,7,2,8,3,9,4,10,5,11"
180,12,"0,6,1,7,2,8,3,9,4,10,5,11"
181,12,"0,6,1,7,2,8,3,9,4,10,5,11"
182,12,"0,6,1,7,2,8,3,9,4,10,5,11"
183,12,"0,6,1,7,2,8,3,9,4,10,5,11"
184,12,"0,6,1,7,2,8,3,9,4,10,5,11"
185,12,"0,6,1,7,2,8,3,9,4,10,5,11"
186,12,"0,6,1,7,2,8,3,9,4,10,5,11"
187,12,"0,6,1,7,2,8,3,9,4,10,5,11"
188,12,"0,6,1,7,2,8,3,9,4,10,5,11"
189,12,"0,6,1,7,2,8,3,9,4,10,5,11"
190,12,"0,6,1,7,2,8,3,9,4,10,5,11"
191,12,"0,6,1,7,2,8,3,9,4,10,5,11"
192,12,"0,6,1,7,2,8,3,9,4,10,5,11"
193,12,"0,6,1,7,2,8,3,9,4,10,5,11"
194,12,"0,6,1,7,2,8,3,9,4,10,5,11"
195,12,"0,6,1,7,2,8,3,9,4,10,5,11"
196,12,"0,6,1,7,2,8,3,9,4,10,5,11"
197,12,"0,6,1,7,2,8,3,9,4,10,5,11"
198,12,"0,6,1,7,2,8,3,9,4,10,5,11"
199,12,"0,6,1,7,2,8,3,9,4,10,5,11"
200,12,"0,6,1,7,2,8,3,9,4,10,5,11"
201,12,"0,6,1,7,2,8,3,9,4,10,5,11"
202,12,"0,6,1,7,2,8,3,9,4,10,5,11"
203,12,"0,6,1,7,2,8,3,9,4,10,5,11"
204,12,"0,6,1,7,2,8,3,9,4,10,5,11"
205,12,"0,6,1,7,2,8,3,9,4,10,5,11"
206,12,"0,6,1,7,2,8,3,9,4,10,5,11"
207,12,"0,6,1,7,2,8,3,9,4,10,5,11"
208,12,"0,6,1,7,2,8,3,9,4,10,5,11"
209,12,"0,6,1,7,2,8,3,9,4,10,5,11"
210,12,"0,6,1,7,2,8,3,9,4,10,5,11"
211,12,"0,6,1,7,2,8,3,9,4,10,5,11"
212,12,"0,6,1,7,2,8,3,9,4,10,5,11"
213,12,"0,6,1,7,2,8,3,9,4,10,5,11"
214,12,"0,6,1,7,2,8,3,9,4,10,5,11"
215,12,"0,6,1,7,2,8,3,9,4,10,5,11"
216,12,"0,6,1,7,2,8,3,9,4,10,5,11"
217,12,"0,6,1,7,2,8,3,9,4,10,5,11"
218,12,"0,6,1,7,2,8,3,9,4,10,5,11"
219,12,"0,6,1,7,2,8,3,9,4,10,5,11"
220,12,"0,6,1,7,2,8,3,9,4,10,5,11"
221,12,"0,6,1,7,2,8,3,9,4,10,5,11"
222,12,"0,6,1,7,2,8,3,9,4,10,5,11"
223,12,"0,6,1,7,2,8,3,9,4,10,5,11"
224,12,"0,6,1,7,2,8,3,9,4,10,5,11"
225,12,"0,6,1,7,2,8,3,9,4,10,5,11"
226,12,"0,6,1,7,2,8,3,9,4,10,5,11"
227,12,"0,6,1,7,2,8,3,9,4,10,5,11"
228,12,"0,6,1,7,2,8,3,9,4,10,5,11"
229,12,"0,6,1,7,2,8,3,9,4,10,5,11"
230,12,"0,6,1,7,2,8,3,9,4,10,5,11"
231,12,"0,6,1,7,2,8,3,9,4,10,5,11"
232,12,"0,6,1,7,2,8,3,9,4,10,5,11"
233,12,"0,6,1,7,2,8,3,9,4,10,5,11"
234,12,"0,6,1,7,2,8,3,9,4,10,5,11"
235,12,"0,6,1,7,2,8,3,9,4,10,5,11"
236,12,"0,6,1,7,2,8,3,9,4,10,5,11"
237,12,"0,6,1,7,2,8,3,9,4,10,5,11"
238,12,"0,6,1,7,2,8,3,9,4,10,5,11"
239,12,"0,6,1,7,2,8,3,9,4,10,5,11"
240,12,"0,6,1,7,2,8,3,9,4,10,5,11"
241,12,"0,6,1,7,2,8,3,9,4,10,5,11"
242,12,"0,6,1,7,2,8,3,9,4,10,5,11"
243,12,"0,6,1,7,2,8,3,9,4,10,5,11"
244,12,"0,6,1,7,2,8,3,9,4,10,5,11"
245,12,"0,6,1,7,2,8,3,9,4,10,5,11"
246,12,"0,6,1,7,2,8,3,9,4,10,5,11"
247,12,"0,6,1,7,2,8,3,9,4,10,5,11"
248,12,"0,6,1,7,2,8,3,9,4,10,5,11"
249,12,"0,6,1,7,2,8,3,9,4,10,5,11"
250,12,"0,6,1,7,2,8,3,9,4,10,5,11"
251,12,"0,6,1,7,2,8,3,9,4,10,5,11"
252,12,"0,6,1,7,2,8,3,9,4,10,5,11"
253,12,"0,6,1,7,2,8,3,9,4,10,5,11"
254,12,"0,6,1,7,2,8,3,9,4,10,5,11"
255,12,"0,6,1,7,2,8,3,9,4,10,5,11"
256,12,"0,6,1,7,2,8,3,9,4,10,5,11"
257,12,"0,6,1,7,2,8,3,9,4,10,5,11"
258,12,"0,6,1,7,2,8,3,9,4,10,5,11"
259,12,"0,6,1,7,2,8,3,9,4,10,5,11"
260,12,"0,6,1,7,2,8,3,9,4,10,5,11"
261,12,"0,6,1,7,2,8,3,9,4,10,5,11"
262,12,"0,6,1,7,2,8,3,9,4,10,5,11"
263,12,"0,6,1,7,2,8,3,9,4,10,5,11"
264,12,"0,6,1,7,2,8,3,9,4,10,5,11"
265,12,"0,6,1,7,2,8,3,9,4,10,5,11"
266,12,"0,6,1,7,2,8,3,9,4,10,5,11"
267,12,"0,6,1,7,2,8,3,9,4,10,5,11"
268,12,"0,6,1,7,2,8,3,9,4,10,5,11"
269,12,"0,6,1,7,2,8,3,9,4,10,5,11"
270,12,"0,6,1,7,2,8,3,9,4,10,5,11"
271,12,"0,6,1,7,2,8,3,9,4,10,5,11"
272,12,"0,6,1,7,2,8,3,9,4,10,5,11"
273,12,"0,6,1,7,2,8,3,9,4,10,5,11"
274,12,"0,6,1,7,2,8,3,9,4,10,5,11"
275,12,"0,6,1,7,2,8,3,9,4,10,5,11"
276,12,"0,6,1,7,2,8,3,9,4,10,5,11"
277,12,"0,6,1,7,2,8,3,9,4,10,5,11"
278,12,"0,6,1,7,2,8,3,9,4,10,5,11"
279,12,"0,6,1,7,2,8,3,9,4,10,5,11"
280,12,"0,6,1,7,2,8,3,9,4,10,5,11"
281,12,"0,6,1,7,2,8,3,9,4,10,5,11"
282,12,"0,6,1,7,2,8,3,9,4,10,5,11"
283,12,"0,6,1,7,2,8,3,9,4,10,5,11"
284,12,"0,6,1,7,2,8,3,9,4,10,5,11"
285,12,"0,6,1,7,2,8,3,9,4,10,5,11"
286,12,"0,6,1,7,2,8,3,9,4,10,5,11"
287,12,"0,6,1,7,2,8,3,9,4,10,5,11"
288,12,"0,6,1,7,2,8,3,9,4,10,5,11"
289,12,"0,6,1,7,2,8,3,9,4,10,5,11"
290,12,"0,6,1,7,2,8,3,9,4,10,5,11"
291,12,"0,6,1,7,2,8,3,9,4,10,5,11"
292,12,"0,6,1,7,2,8,3,9,4,10,5,11"
293,12,"0,6,1,7,2,8,3,9,4,10,5,11"
294,12,"0,6,1,7,2,8,3,9,4,10,5,11"
295,12,"0,6,1,7,2,8,3,9,4,10,5,11"
296,12,"0,6,1,7,2,8,3,9,4,10,5,11"
297,12,"0,6,1,7,2,8,3,9,4,10,5,11"
298,12,"0,6,1,7,2,8,3,9,4,10,5,11"
299,12,"0,6,1,7,2,8,3,9,4,10,5,11"
